Activity type,Duration,From,To,Comment
Sleep-ternet,0:19,7/18/2021 1:25,7/18/2021 1:45,
Thesis,5:00,7/17/2021 20:24,7/18/2021 1:25,
Eat,0:38,7/17/2021 19:46,7/17/2021 20:24,
Gaming,0:26,7/17/2021 19:19,7/17/2021 19:46,
Thesis,2:24,7/17/2021 16:55,7/17/2021 19:19,
Internet,0:15,7/17/2021 16:40,7/17/2021 16:55,
Friends,2:00,7/17/2021 14:40,7/17/2021 16:40,
"""Reading""",0:18,7/17/2021 14:21,7/17/2021 14:40,
Thesis,0:51,7/17/2021 13:30,7/17/2021 14:21,
"""Reading""",0:17,7/17/2021 13:13,7/17/2021 13:30,
Thesis,0:09,7/17/2021 13:04,7/17/2021 13:13,
Eat,0:15,7/17/2021 12:49,7/17/2021 13:04,
Entertainment,0:49,7/17/2021 12:00,7/17/2021 12:49,
Thesis,1:19,7/17/2021 10:40,7/17/2021 12:00,
Entertainment,0:15,7/17/2021 10:25,7/17/2021 10:40,
"""Reading""",0:12,7/17/2021 10:12,7/17/2021 10:25,
Gaming,0:30,7/17/2021 9:42,7/17/2021 10:12,
Eat,0:10,7/17/2021 9:32,7/17/2021 9:42,
Sleep-ternet,0:20,7/17/2021 9:11,7/17/2021 9:32,
Sleep,7:51,7/17/2021 1:20,7/17/2021 9:11,
Sleep-ternet,0:36,7/17/2021 0:43,7/17/2021 1:20,
Thesis,1:27,7/16/2021 23:15,7/17/2021 0:43,
Eat,0:15,7/16/2021 23:00,7/16/2021 23:15,
Shop,0:20,7/16/2021 22:40,7/16/2021 23:00,
Transport,0:20,7/16/2021 22:20,7/16/2021 22:40,
"""Reading""",0:19,7/16/2021 22:00,7/16/2021 22:20,
Thesis,1:46,7/16/2021 20:13,7/16/2021 22:00,
Housework,0:07,7/16/2021 20:05,7/16/2021 20:13,
Thesis,0:51,7/16/2021 19:14,7/16/2021 20:05,
Gaming,0:42,7/16/2021 18:31,7/16/2021 19:14,
Eat,0:46,7/16/2021 17:45,7/16/2021 18:31,
"""Reading""",0:25,7/16/2021 17:19,7/16/2021 17:45,
Internet,0:20,7/16/2021 16:59,7/16/2021 17:19,
Gaming,0:58,7/16/2021 16:00,7/16/2021 16:59,
Friends,0:34,7/16/2021 15:25,7/16/2021 16:00,
Nap,0:50,7/16/2021 14:35,7/16/2021 15:25,
Entertainment,1:04,7/16/2021 13:30,7/16/2021 14:35,
Gaming,0:40,7/16/2021 12:50,7/16/2021 13:30,
Getting Ready,0:20,7/16/2021 12:30,7/16/2021 12:50,
Internet,1:30,7/16/2021 11:00,7/16/2021 12:30,
Admin,0:24,7/16/2021 10:35,7/16/2021 11:00,
Eat,0:30,7/16/2021 10:04,7/16/2021 10:35,
Internet,0:24,7/16/2021 9:40,7/16/2021 10:04,
Sleep-ternet,0:40,7/16/2021 9:00,7/16/2021 9:40,
Sleep,6:02,7/16/2021 2:57,7/16/2021 9:00,
Sleep-ternet,0:47,7/16/2021 2:10,7/16/2021 2:57,
Thesis,2:39,7/15/2021 23:30,7/16/2021 2:10,
Admin,1:30,7/15/2021 22:00,7/15/2021 23:30,
Eat,0:45,7/15/2021 21:15,7/15/2021 22:00,
Housework,0:30,7/15/2021 20:45,7/15/2021 21:15,
"""Reading""",0:45,7/15/2021 20:00,7/15/2021 20:45,
Gaming,3:44,7/15/2021 16:15,7/15/2021 20:00,
Admin,1:30,7/15/2021 14:45,7/15/2021 16:15,
Internet,0:30,7/15/2021 14:15,7/15/2021 14:45,
Linda,2:15,7/15/2021 12:00,7/15/2021 14:15,
Gaming,1:53,7/15/2021 10:06,7/15/2021 12:00,
Getting Ready,0:15,7/15/2021 9:51,7/15/2021 10:06,
Eat,0:19,7/15/2021 9:31,7/15/2021 9:51,
Sleep-ternet,0:47,7/15/2021 8:44,7/15/2021 9:31,
Sleep,7:18,7/15/2021 1:26,7/15/2021 8:44,
Sleep-ternet,0:20,7/15/2021 1:05,7/15/2021 1:26,
Thesis,2:13,7/14/2021 22:52,7/15/2021 1:05,
Gaming,1:30,7/14/2021 21:21,7/14/2021 22:52,
Housework,0:20,7/14/2021 21:01,7/14/2021 21:21,
Eat,0:31,7/14/2021 20:30,7/14/2021 21:01,
Thesis,1:14,7/14/2021 19:15,7/14/2021 20:30,
"""Reading""",2:25,7/14/2021 16:50,7/14/2021 19:15,
Gaming,0:38,7/14/2021 16:12,7/14/2021 16:50,
Eat,0:25,7/14/2021 15:47,7/14/2021 16:12,
Internet,0:32,7/14/2021 15:15,7/14/2021 15:47,
"""Reading""",0:14,7/14/2021 15:00,7/14/2021 15:15,
Makin'/Fixin',0:01,7/14/2021 14:59,7/14/2021 15:00,
Internet,12:25,7/14/2021 12:40,7/15/2021 1:05,
Gaming,0:10,7/14/2021 12:30,7/14/2021 12:40,
Entertainment,0:45,7/14/2021 11:44,7/14/2021 12:30,
Eat,0:09,7/14/2021 11:35,7/14/2021 11:44,
Internet,0:59,7/14/2021 10:35,7/14/2021 11:35,
Thesis,0:48,7/14/2021 9:46,7/14/2021 10:35,
Eat,0:45,7/14/2021 9:00,7/14/2021 9:46,
Sleep-ternet,0:40,7/14/2021 8:20,7/14/2021 9:00,
Sleep,8:20,7/14/2021 0:00,7/14/2021 8:20,
Sleep-ternet,1:19,7/13/2021 22:40,7/14/2021 0:00,
Entertainment,0:40,7/13/2021 22:00,7/13/2021 22:40,
Thesis,0:34,7/13/2021 21:25,7/13/2021 22:00,
Getting Ready,0:25,7/13/2021 21:00,7/13/2021 21:25,
Gaming,0:30,7/13/2021 20:30,7/13/2021 21:00,
Thesis,0:50,7/13/2021 19:40,7/13/2021 20:30,
Gaming,0:30,7/13/2021 19:10,7/13/2021 19:40,
Eat,0:36,7/13/2021 18:33,7/13/2021 19:10,
Gaming,0:07,7/13/2021 18:25,7/13/2021 18:33,
"""Reading""",0:26,7/13/2021 17:58,7/13/2021 18:25,
Gaming,0:20,7/13/2021 17:38,7/13/2021 17:58,
Thesis,0:00,7/13/2021 17:37,7/13/2021 17:38,
Eat,0:27,7/13/2021 17:10,7/13/2021 17:37,
Thesis,0:44,7/13/2021 16:25,7/13/2021 17:10,
Eat,0:10,7/13/2021 16:15,7/13/2021 16:25,
Gaming,1:15,7/13/2021 15:00,7/13/2021 16:15,
Thesis,0:00,7/13/2021 15:00,7/13/2021 15:00,
Internet,0:44,7/13/2021 14:15,7/13/2021 15:00,
Thesis,0:14,7/13/2021 14:00,7/13/2021 14:15,
Internet,0:30,7/13/2021 13:30,7/13/2021 14:00,
Gaming,0:50,7/13/2021 12:39,7/13/2021 13:30,
Eat,0:18,7/13/2021 12:21,7/13/2021 12:39,
Friends,0:00,7/13/2021 12:21,7/13/2021 12:21,
Gaming,0:48,7/13/2021 11:32,7/13/2021 12:21,
Makin'/Fixin',0:04,7/13/2021 11:28,7/13/2021 11:32,
Thesis,1:34,7/13/2021 9:53,7/13/2021 11:28,
Admin,0:31,7/13/2021 9:22,7/13/2021 9:53,
Gaming,0:56,7/13/2021 8:25,7/13/2021 9:22,
Eat,0:25,7/13/2021 8:00,7/13/2021 8:25,
"""Reading""",0:10,7/13/2021 7:49,7/13/2021 8:00,
Sleep-ternet,0:02,7/13/2021 7:47,7/13/2021 7:49,
Sleep-ternet,0:37,7/13/2021 7:10,7/13/2021 7:47,
Sleep,4:45,7/13/2021 2:24,7/13/2021 7:10,
Sleep-ternet,0:24,7/13/2021 2:00,7/13/2021 2:24,
Thesis,2:32,7/12/2021 23:28,7/13/2021 2:00,
Gaming,0:40,7/12/2021 22:47,7/12/2021 23:28,
Thesis,0:41,7/12/2021 22:06,7/12/2021 22:47,
Housework,0:13,7/12/2021 21:52,7/12/2021 22:06,
Makin'/Fixin',0:02,7/12/2021 21:50,7/12/2021 21:52,
Thesis,0:50,7/12/2021 21:00,7/12/2021 21:50,
Gaming,0:59,7/12/2021 20:00,7/12/2021 21:00,
Eat,1:00,7/12/2021 19:00,7/12/2021 20:00,
Makin'/Fixin',0:30,7/12/2021 18:30,7/12/2021 19:00,
Entertainment,1:23,7/12/2021 17:06,7/12/2021 18:30,
Getting Ready,0:38,7/12/2021 16:28,7/12/2021 17:06,
"""Reading""",0:05,7/12/2021 16:22,7/12/2021 16:28,
Gaming,0:45,7/12/2021 15:37,7/12/2021 16:22,
Eat,0:24,7/12/2021 15:12,7/12/2021 15:37,
Internet,0:06,7/12/2021 15:05,7/12/2021 15:12,
Gaming,0:35,7/12/2021 14:30,7/12/2021 15:05,
Housework,0:45,7/12/2021 13:45,7/12/2021 14:30,
"""Reading""",0:27,7/12/2021 13:17,7/12/2021 13:45,
Gaming,1:30,7/12/2021 11:47,7/12/2021 13:17,
Getting Ready,0:32,7/12/2021 11:15,7/12/2021 11:47,
Eat,0:15,7/12/2021 11:00,7/12/2021 11:15,
Sleep,1:30,7/12/2021 9:30,7/12/2021 11:00,
Entertainment,1:38,7/12/2021 7:51,7/12/2021 9:30,
Eat,0:16,7/12/2021 7:35,7/12/2021 7:51,
Sleep-ternet,0:55,7/12/2021 6:39,7/12/2021 7:35,
Sleep,7:35,7/11/2021 23:04,7/12/2021 6:39,
Sleep-ternet,0:14,7/11/2021 22:49,7/11/2021 23:04,
Eat,0:07,7/11/2021 22:42,7/11/2021 22:49,
Internet,1:42,7/11/2021 21:00,7/11/2021 22:42,
Thesis,1:39,7/11/2021 19:20,7/11/2021 21:00,
Eat,1:20,7/11/2021 18:00,7/11/2021 19:20,
Gaming,1:41,7/11/2021 16:18,7/11/2021 18:00,
Friends,0:17,7/11/2021 16:00,7/11/2021 16:18,
Gaming,2:43,7/11/2021 13:17,7/11/2021 16:00,
Makin'/Fixin',1:22,7/11/2021 11:55,7/11/2021 13:17,
Gaming,3:40,7/11/2021 8:15,7/11/2021 11:55,
Eat,0:15,7/11/2021 8:00,7/11/2021 8:15,
Sleep-ternet,1:00,7/11/2021 7:00,7/11/2021 8:00,
Sleep,5:30,7/11/2021 1:30,7/11/2021 7:00,
Sleep-ternet,0:19,7/11/2021 1:10,7/11/2021 1:30,
Gaming,7:45,7/10/2021 17:24,7/11/2021 1:10,
Internet,1:00,7/10/2021 16:24,7/10/2021 17:24,
Gaming,0:36,7/10/2021 15:47,7/10/2021 16:24,
Friends,0:00,7/10/2021 15:47,7/10/2021 15:47,
Eat,1:14,7/10/2021 14:33,7/10/2021 15:47,
Sleep-ternet,0:00,7/10/2021 14:33,7/10/2021 14:33,
Nap,0:00,7/10/2021 14:33,7/10/2021 14:33,
Entertainment,1:53,7/10/2021 12:39,7/10/2021 14:33,
Nap,1:00,7/10/2021 11:39,7/10/2021 12:39,
Entertainment,3:04,7/10/2021 8:35,7/10/2021 11:39,
"""Reading""",0:12,7/10/2021 8:22,7/10/2021 8:35,
Entertainment,0:24,7/10/2021 7:58,7/10/2021 8:22,
Getting Ready,1:02,7/10/2021 6:55,7/10/2021 7:58,
Eat,0:05,7/10/2021 6:50,7/10/2021 6:55,
Sleep-ternet,0:49,7/10/2021 6:00,7/10/2021 6:50,
Sleep,8:29,7/9/2021 21:31,7/10/2021 6:00,
Sleep-ternet,0:30,7/9/2021 21:00,7/9/2021 21:30,
Eat,1:54,7/9/2021 19:05,7/9/2021 21:00,
Friends,0:10,7/9/2021 18:55,7/9/2021 19:05,
Internet,0:11,7/9/2021 18:43,7/9/2021 18:55,
Eat,0:12,7/9/2021 18:30,7/9/2021 18:43,
Internet,0:58,7/9/2021 17:32,7/9/2021 18:30,
Makin'/Fixin',2:22,7/9/2021 15:10,7/9/2021 17:32,
Admin,0:19,7/9/2021 14:50,7/9/2021 15:10,
Makin'/Fixin',0:55,7/9/2021 13:54,7/9/2021 14:50,
Eat,0:11,7/9/2021 13:43,7/9/2021 13:54,
Housework,1:03,7/9/2021 12:39,7/9/2021 13:43,
Internet,0:24,7/9/2021 12:15,7/9/2021 12:39,
Housework,0:32,7/9/2021 11:42,7/9/2021 12:15,
"""Reading""",0:09,7/9/2021 11:33,7/9/2021 11:42,
Internet,0:17,7/9/2021 11:16,7/9/2021 11:33,
Makin'/Fixin',2:55,7/9/2021 8:20,7/9/2021 11:16,
"""Reading""",0:13,7/9/2021 8:07,7/9/2021 8:20,
Meeting,2:07,7/9/2021 6:00,7/9/2021 8:07,
Sleep,7:29,7/8/2021 22:30,7/9/2021 6:00,
Travel,12:29,7/8/2021 10:00,7/8/2021 22:30,
Internet,1:30,7/8/2021 8:30,7/8/2021 10:00,
Getting Ready,0:29,7/8/2021 8:01,7/8/2021 8:30,
Sleep-ternet,1:41,7/8/2021 6:19,7/8/2021 8:01,
"""Reading""",0:13,7/8/2021 6:05,7/8/2021 6:19,
Sleep-ternet,0:20,7/8/2021 5:45,7/8/2021 6:05,
Sleep,6:45,7/7/2021 23:00,7/8/2021 5:45,
Thesis,11:29,7/7/2021 11:30,7/7/2021 23:00,
Transport,4:50,7/7/2021 6:40,7/7/2021 11:30,
Getting Ready,15:29,7/6/2021 15:10,7/7/2021 6:40,
Friends,3:09,7/6/2021 12:00,7/6/2021 15:10,
Eat,0:30,7/6/2021 11:30,7/6/2021 12:00,
Transport,1:30,7/6/2021 10:00,7/6/2021 11:30,
Travel,3:24,7/6/2021 6:35,7/6/2021 10:00,
Admin,0:34,7/6/2021 6:01,7/6/2021 6:35,
Transport,2:31,7/6/2021 3:30,7/6/2021 6:01,
Thesis,1:32,7/6/2021 1:57,7/6/2021 3:30,
Transport,4:26,7/5/2021 21:30,7/6/2021 1:57,
Sleep-ternet,11:52,7/5/2021 9:37,7/5/2021 21:30,
Internet,0:00,7/5/2021 9:37,7/5/2021 9:37,
Sleep-ternet,27:36:00,7/4/2021 6:00,7/5/2021 9:37,
Sleep,8:00,7/3/2021 22:00,7/4/2021 6:00,
Sleep-ternet,0:56,7/3/2021 21:03,7/3/2021 22:00,
Internet,1:46,7/3/2021 19:17,7/3/2021 21:03,
"""Reading""",0:06,7/3/2021 19:10,7/3/2021 19:17,
Friends,1:30,7/3/2021 17:40,7/3/2021 19:10,
Eat,0:20,7/3/2021 17:20,7/3/2021 17:40,
Transport,0:29,7/3/2021 16:50,7/3/2021 17:20,
Internet,0:56,7/3/2021 15:54,7/3/2021 16:50,
Nap,2:24,7/3/2021 13:30,7/3/2021 15:54,
Internet,1:00,7/3/2021 12:30,7/3/2021 13:30,
Getting Ready,0:15,7/3/2021 12:15,7/3/2021 12:30,
Relaxing,0:17,7/3/2021 11:57,7/3/2021 12:15,
Friends,0:27,7/3/2021 11:30,7/3/2021 11:57,
Internet,2:22,7/3/2021 9:07,7/3/2021 11:30,
Work,0:53,7/3/2021 8:14,7/3/2021 9:07,
Sleep-ternet,0:15,7/3/2021 8:00,7/3/2021 8:15,
Eat,0:20,7/3/2021 7:40,7/3/2021 8:00,
Shop,0:20,7/3/2021 7:20,7/3/2021 7:40,
Transport,0:20,7/3/2021 7:00,7/3/2021 7:20,
Sleep-ternet,0:30,7/3/2021 6:30,7/3/2021 7:00,
Sleep,8:30,7/2/2021 22:00,7/3/2021 6:30,
Sleep-ternet,1:07,7/2/2021 20:52,7/2/2021 22:00,
Sleep-ternet,0:00,7/2/2021 20:51,7/2/2021 20:52,
Work,0:36,7/2/2021 20:15,7/2/2021 20:51,
Internet,1:34,7/2/2021 18:40,7/2/2021 20:15,
Eat,0:16,7/2/2021 18:23,7/2/2021 18:40,
Work,0:35,7/2/2021 17:47,7/2/2021 18:23,
Admin,1:06,7/2/2021 16:41,7/2/2021 17:47,
Work,1:40,7/2/2021 15:00,7/2/2021 16:41,
Thesis,0:45,7/2/2021 14:15,7/2/2021 15:00,
Entertainment,1:15,7/2/2021 13:00,7/2/2021 14:15,
Thesis,0:44,7/2/2021 12:15,7/2/2021 13:00,
Eat,0:12,7/2/2021 12:02,7/2/2021 12:15,
Shop,0:19,7/2/2021 11:43,7/2/2021 12:02,
Transport,0:26,7/2/2021 11:16,7/2/2021 11:43,
Housework,0:34,7/2/2021 10:42,7/2/2021 11:16,
"""Reading""",0:03,7/2/2021 10:38,7/2/2021 10:42,
Internet,0:17,7/2/2021 10:21,7/2/2021 10:38,
Housework,0:18,7/2/2021 10:03,7/2/2021 10:21,
Getting Ready,0:15,7/2/2021 9:48,7/2/2021 10:03,
Relaxing,0:07,7/2/2021 9:41,7/2/2021 9:48,
Thesis,0:40,7/2/2021 9:00,7/2/2021 9:41,
Thesis,0:00,7/2/2021 8:37,7/2/2021 8:37,
Makin'/Fixin',0:39,7/2/2021 8:20,7/2/2021 9:00,
Thesis,0:29,7/2/2021 7:50,7/2/2021 8:20,
Sleep-ternet,1:56,7/2/2021 5:54,7/2/2021 7:50,
Sleep,3:24,7/2/2021 2:30,7/2/2021 5:54,
Sleep-ternet,0:32,7/2/2021 1:57,7/2/2021 2:30,
Internet,0:02,7/2/2021 1:54,7/2/2021 1:57,
Internet,0:09,7/2/2021 1:45,7/2/2021 1:54,
Thesis,0:59,7/2/2021 0:45,7/2/2021 1:45,
Shop,0:24,7/2/2021 0:20,7/2/2021 0:45,
Thesis,1:57,7/1/2021 22:23,7/2/2021 0:20,
Work,1:52,7/1/2021 20:30,7/1/2021 22:23,
Eat,0:45,7/1/2021 19:45,7/1/2021 20:30,
Internet,1:59,7/1/2021 17:45,7/1/2021 19:45,
Shop,0:15,7/1/2021 17:30,7/1/2021 17:45,
Transport,0:17,7/1/2021 17:12,7/1/2021 17:30,
Friends,0:27,7/1/2021 16:45,7/1/2021 17:12,
Admin,1:45,7/1/2021 15:00,7/1/2021 16:45,
Relaxing,3:30,7/1/2021 11:30,7/1/2021 15:00,
Transport,1:00,7/1/2021 10:30,7/1/2021 11:30,
Admin,0:30,7/1/2021 10:00,7/1/2021 10:30,
Shop,1:00,7/1/2021 9:00,7/1/2021 10:00,
Internet,1:00,7/1/2021 8:00,7/1/2021 9:00,
Sleep-ternet,2:00,7/1/2021 6:00,7/1/2021 8:00,
Sleep,6:19,6/30/2021 23:40,7/1/2021 6:00,
Sleep-ternet,0:19,6/30/2021 23:20,6/30/2021 23:40,
Entertainment,1:05,6/30/2021 22:15,6/30/2021 23:20,
Makin'/Fixin',3:00,6/30/2021 19:15,6/30/2021 22:15,
Date,1:45,6/30/2021 17:30,6/30/2021 19:15,
Internet,5:49,6/30/2021 11:40,6/30/2021 17:30,
"""Reading""",0:20,6/30/2021 11:19,6/30/2021 11:40,
Internet,0:15,6/30/2021 11:04,6/30/2021 11:19,
Doc,1:04,6/30/2021 10:00,6/30/2021 11:04,
Shop,0:10,6/30/2021 9:50,6/30/2021 10:00,
Transport,0:20,6/30/2021 9:30,6/30/2021 9:50,
Work,1:30,6/30/2021 8:00,6/30/2021 9:30,
Sleep-ternet,2:00,6/30/2021 6:00,6/30/2021 8:00,
Sleep,6:42,6/29/2021 23:18,6/30/2021 6:00,
Sleep-ternet,0:23,6/29/2021 22:54,6/29/2021 23:18,
Work,3:23,6/29/2021 19:30,6/29/2021 22:54,
Internet,1:30,6/29/2021 18:00,6/29/2021 19:30,
Eat,0:30,6/29/2021 17:30,6/29/2021 18:00,
Transport,0:16,6/29/2021 17:13,6/29/2021 17:30,
Shop,0:12,6/29/2021 17:00,6/29/2021 17:12,
Transport,0:16,6/29/2021 16:43,6/29/2021 17:00,
Eat,0:15,6/28/2021 13:24,6/28/2021 13:39,
Thesis,0:36,6/28/2021 12:47,6/28/2021 13:24,
Transport,2:40,6/28/2021 10:07,6/28/2021 12:47,
Thesis,2:42,6/28/2021 7:24,6/28/2021 10:07,
Sleep,8:22,6/24/2021 21:38,6/25/2021 6:00,
Sleep-ternet,0:29,6/24/2021 21:08,6/24/2021 21:38,
Relaxing,0:38,6/24/2021 20:30,6/24/2021 21:08,
Friends,5:04,6/24/2021 15:26,6/24/2021 20:30,
Transport,1:50,6/24/2021 13:36,6/24/2021 15:26,
Shop,0:20,6/24/2021 13:16,6/24/2021 13:36,
Transport,1:16,6/24/2021 12:00,6/24/2021 13:16,
Thesis,3:06,6/24/2021 8:53,6/24/2021 12:00,
Relaxing,1:23,6/24/2021 7:30,6/24/2021 8:53,
Eat,0:30,6/24/2021 7:00,6/24/2021 7:30,
Sleep,8:56,6/23/2021 22:03,6/24/2021 7:00,
Sleep-ternet,1:00,6/23/2021 21:02,6/23/2021 22:03,
Internet,1:18,6/23/2021 19:43,6/23/2021 21:02,
Eat,0:30,6/23/2021 19:13,6/23/2021 19:43,
Thesis,0:27,6/23/2021 18:45,6/23/2021 19:13,
"""Reading""",0:08,6/23/2021 18:37,6/23/2021 18:45,
Transport,6:52,6/23/2021 11:45,6/23/2021 18:37,
Date,3:15,6/23/2021 8:30,6/23/2021 11:45,
Housework,2:00,6/23/2021 6:30,6/23/2021 8:30,
Sleep,2:30,6/23/2021 4:00,6/23/2021 6:30,
Makin'/Fixin',4:45,6/23/2021 0:00,6/23/2021 4:45,
Thesis,1:30,6/22/2021 22:30,6/23/2021 0:00,
Gaming,1:00,6/22/2021 21:30,6/22/2021 22:30,
"""Reading""",0:11,6/22/2021 21:18,6/22/2021 21:30,
Gaming,2:48,6/22/2021 18:30,6/22/2021 21:18,
Internet,3:00,6/22/2021 15:30,6/22/2021 18:30,
Eat,1:00,6/22/2021 14:30,6/22/2021 15:30,
"""Reading""",0:30,6/22/2021 14:00,6/22/2021 14:30,
Housework,2:46,6/22/2021 11:13,6/22/2021 14:00,
Internet,1:23,6/22/2021 9:49,6/22/2021 11:13,
Housework,0:49,6/22/2021 9:00,6/22/2021 9:49,
Gaming,0:30,6/22/2021 8:30,6/22/2021 9:00,
Sleep-ternet,0:46,6/22/2021 7:43,6/22/2021 8:30,
Sleep,8:27,6/21/2021 23:15,6/22/2021 7:43,
Sleep-ternet,0:33,6/21/2021 22:42,6/21/2021 23:15,
